"","x"
"1",0.748
"2",0.997
"3",0.841
"4",0.29
"5",0.359
"6",0.219
"7",0.464
"8",0.965
"9",0.83
"10",0.808
"11",0.957
"12",0.848
"13",0.862
"14",0.572
"15",0.828
"16",0.644
"17",0.341
"18",0.265
"19",0.288
"20",0.958
"21",0.678
"22",0.517
"23",0.3
"24",0.381
"25",0.335
"26",0.839
"27",0.974
"28",0.742
"29",0.799
"30",0.781
"31",0.857
"32",0.723
"33",0.748
"34",0.694
"35",0.616
"36",0.832
"37",0.469
"38",0.415
"39",0.549
"40",0.905
"41",0.493
"42",0.383
"43",0.258
"44",0.195
"45",0.89
"46",0.825
"47",0.728
"48",0.346
"49",0.246
"50",0.677
"51",0.565
"52",0.391
"53",0.889
"54",0.939
"55",0.718
"56",0.373
"57",0.651
"58",0.688
"59",0.931
"60",0.477
"61",0.707
"62",0.709
"63",0.514
"64",0.712
"65",0.689
"66",0.857
"67",0.331
"68",0.279
